Vm,na12.ina_ina,na12mut.ina_ina
-72.02704479724503,-1.4313165473704116e-09,-2.2792361853698914e-10
-72.02746127893816,-1.4308650926658272e-09,-2.2785121826467457e-10
-72.02786235819427,-1.4304247420909388e-09,-2.2778032956081237e-10
-72.0282482860354,-1.4299955839485994e-09,-2.2771098313993214e-10
-72.02861930937591,-1.4295776805733484e-09,-2.276432050341441e-10
-72.02897567118838,-1.4291710709688429e-09,-2.2757701698389462e-10
-72.02931761062308,-1.4287757731968983e-09,-2.2751243679792304e-10
-72.02964536309184,-1.4283917865436537e-09,-2.2744947868514982e-10
-72.02995916032512,-1.4280190934852991e-09,-2.2738815356092554e-10
-72.0302592304093,-1.4276576614731799e-09,-2.273284693298039e-10
-72.03054579780992,-1.4273074445558305e-09,-2.2727043114677473e-10
-72.03081908338494,-1.426968384853526e-09,-2.2721404165869758e-10
-72.0310793043916,-1.4266404138992468e-09,-2.271593012275052e-10
-72.0313266744895,-1.4263234538584613e-09,-2.2710620813659984e-10
-72.03156140374209,-1.4260174186388494e-09,-2.2705475878173032e-10
-72.03178369861783,-1.42572221489993e-09,-2.2700494784752756e-10
-72.03199376199245,-1.4254377429715879e-09,-2.269567684707691e-10
-72.03219179315313,-1.4251638976895752e-09,-2.269102123913579e-10
-72.032377987805,-1.4249005691553108e-09,-2.2686527009191503e-10
-72.03255253808068,-1.4246476434265848e-09,-2.2682193092681435e-10
-72.03271563255285,-1.4244050031451662e-09,-2.2678018324142458e-10
-72.0328674562501,-1.4241725281067558e-09,-2.267400144822599e-10
-72.03300819067614,-1.4239500957782307e-09,-2.2670141129869099e-10
-72.03313801383219,-1.4237375817666792e-09,-2.2666435963681775e-10
-72.0332571002426,-1.4235348602443333e-09,-2.2662884482605942e-10
-72.03336562098349,-1.4233418043331322e-09,-2.2659485165898016e-10
-72.0334637437143,-1.4231582864523424e-09,-2.2656236446482728e-10
-72.03355163271195,-1.422984178632351e-09,-2.265313671772276e-10
-72.0336294489077,-1.4228193527974833e-09,-2.2650184339645555e-10
-72.03369734992609,-1.4226636810204675e-09,-2.2647377644665554e-10
-72.03375549012611,-1.422517035750925e-09,-2.264471494283778e-10
-72.03380402064431,-1.4223792900201027e-09,-2.2642194526675813e-10
-72.03384308943951,-1.422250317623826e-09,-2.2639814675565303e-10
-72.03387284133906,-1.4221299932855456e-09,-2.2637573659801616e-10
-72.03389341808645,-1.4220181928011582e-09,-2.2635469744278734e-10
-72.03390495839002,-1.421914793167153e-09,-2.2633501191854063e-10
-72.03390759797267,-1.421819672693515e-09,-2.263166626641282e-10
-72.03390146962239,-1.4217327111026986e-09,-2.2629963235653398e-10
-72.03388670324338,-1.4216537896158667e-09,-2.2628390373614187e-10
-72.03386342590778,-1.421582791027514e-09,-2.2626945962960474e-10
-72.03383176190775,-1.421519599769484e-09,-2.262562829704932e-10
-72.03379183280774,-1.421464101965312e-09,-2.2624435681788403e-10
-72.03374375749702,-1.42141618547577e-09,-2.2623366437304413e-10
-72.03368765224218,-1.4213757399363792e-09,-2.262241889943519e-10
-72.03362363073956,-1.4213426567876419e-09,-2.262159142105866e-10
-72.03355180416756,-1.4213168292986434e-09,-2.262088237327114e-10
-72.03347228123874,-1.4212981525846446e-09,-2.2620290146426483e-10
-72.03338516825157,-1.4212865236192324e-09,-2.2619813151046667e-10
-72.0332905691418,-1.4212818412415388e-09,-2.261944981861402e-10
-72.03318858553342,-1.4212840061590155e-09,-2.2619198602254165e-10
