Vm,na12.ina_ina,na12mut.ina_ina
-72.03019347556612,-1.422391569136803e-09,-9.727405382571667e-11
-72.0299677729708,-1.422507370719573e-09,-9.727974095934345e-11
-72.02973630579366,-1.4226284056048848e-09,-9.728581164632012e-11
-72.02949913771928,-1.4227546099444175e-09,-9.729226128756055e-11
-72.02925633106598,-1.4228859212952059e-09,-9.729908536411596e-11
-72.0290079468196,-1.4230222785910365e-09,-9.730627943680608e-11
-72.02875404466671,-1.4231636221139794e-09,-9.731383914575882e-11
-72.0284946830269,-1.4233098934660731e-09,-9.732176020986681e-11
-72.02822991908438,-1.4234610355412318e-09,-9.733003842616884e-11
-72.02795980881875,-1.4236169924973974e-09,-9.733866966916258e-11
-72.02768440703517,-1.4237777097289705e-09,-9.734764989005707e-11
-72.02740376739366,-1.4239431338395561e-09,-9.73569751159691e-11
-72.0271179424378,-1.4241132126150422e-09,-9.736664144907138e-11
-72.02682698362257,-1.4242878949970373e-09,-9.737664506569652e-11
-72.02653094134173,-1.4244671310566901e-09,-9.738698221540293e-11
-72.02622986495429,-1.4246508719688925e-09,-9.739764922000637e-11
-72.02592380281041,-1.4248390699869047e-09,-9.740864247258275e-11
-72.02561280227673,-1.4250316784173957e-09,-9.741995843644515e-11
-72.02529690976087,-1.425228651595909e-09,-9.743159364409942e-11
-72.0249761707355,-1.4254299448627777e-09,-9.744354469618194e-11
-72.02465062976165,-1.4256355145394771e-09,-9.74558082603823e-11
-72.02432033051151,-1.425845317905428e-09,-9.746838107035422e-11
-72.02398531579057,-1.4260593131752519e-09,-9.748125992461763e-11
-72.0236456275592,-1.4262774594764894e-09,-9.74944416854542e-11
-72.02330130695378,-1.426499716827766e-09,-9.750792327779844e-11
-72.0229523943071,-1.4267260461174147e-09,-9.75217016881272e-11
-72.02259892916831,-1.4269564090825576e-09,-9.753577396334898e-11
-72.02224095032241,-1.4271907682886378e-09,-9.755013720969483e-11
-72.02187849580909,-1.4274290871094002e-09,-9.756478859161313e-11
-72.0215116029412,-1.4276713297073243e-09,-9.757972533066902e-11
-72.02114030832266,-1.4279174610144901e-09,-9.759494470445028e-11
-72.02076464786585,-1.4281674467138933e-09,-9.761044404548062e-11
-72.02038465680872,-1.4284212532211862e-09,-9.762622074014215e-11
-72.02000036973118,-1.4286788476668464e-09,-9.76422722276069e-11
-72.01961182057133,-1.4289401978787728e-09,-9.76585959987796e-11
-72.01921904264101,-1.4292052723652935e-09,-9.767518959525169e-11
-72.01882206864113,-1.4294740402985798e-09,-9.769205060826753e-11
-72.01842093067643,-1.429746471498472e-09,-9.77091766777035e-11
-72.01801566027001,-1.430022536416694e-09,-9.772656549106054e-11
-72.01760628837728,-1.4303022061214544e-09,-9.774421478247072e-11
-72.01719284539973,-1.430585452282441e-09,-9.776212233171813e-11
-72.0167753611982,-1.4308722471561755e-09,-9.778028596327421e-11
-72.0163538651058,-1.4311625635717465e-09,-9.779870354534884e-11
-72.01592838594055,-1.431456374916897e-09,-9.78173729889562e-11
-72.0154989520177,-1.4317536551244663e-09,-9.783629224699626e-11
