Vm,na12.ina_ina,na12mut.ina_ina
-72.03387287703592,-1.4221299681877068e-09,-1.0480235121381086e-10
-72.03389345404206,-1.4220181674740468e-09,-1.0478725672757015e-10
-72.03390499460224,-1.4219147676133075e-09,-1.047726983667336e-10
-72.03390763443944,-1.4218196469153856e-09,-1.0475867540219536e-10
-72.03390150634168,-1.4217326851026472e-09,-1.0474518682800675e-10
-72.03388674021323,-1.4216537633961746e-09,-1.047322313791556e-10
-72.03386346312631,-1.4215827645903826e-09,-1.0471980754851663e-10
-72.0338317993731,-1.4215195731170374e-09,-1.0470791360300403e-10
-72.03379187051812,-1.4214640750996033e-09,-1.0469654759895825e-10
-72.03374379545068,-1.4214161583987794e-09,-1.0468570739679708e-10
-72.0336876904374,-1.4213757126500218e-09,-1.0467539067495946e-10
-72.0336236691747,-1.4213426292937676e-09,-1.0466559494317125e-10
-72.03355184284102,-1.4213168015990392e-09,-1.0465631755505964e-10
-72.03347232014896,-1.4212981246810386e-09,-1.0464755572014331e-10
-72.03338520739702,-1.421286495513293e-09,-1.0463930651522329e-10
-72.03329060852099,-1.4212818129348811e-09,-1.046315668951999e-10
-72.03318862514493,-1.421283977653199e-09,-1.046243337033393e-10
-72.0330793566316,-1.4212928922427263e-09,-1.0461760368101293e-10
-72.0329629001324,-1.4213084611401743e-09,-1.0461137347693198e-10
-72.0328393506367,-1.421330590636401e-09,-1.0460563965589892e-10
-72.03270880102059,-1.4213591888654207e-09,-1.0460039870709582e-10
-72.03257134209485,-1.4213941657908246e-09,-1.0459564705193072e-10
-72.0324270626524,-1.4214354331899012e-09,-1.0459138105146024e-10
-72.0322760495149,-1.4214829046357133e-09,-1.0458759701340804e-10
-72.03211838757865,-1.421536495477369e-09,-1.045842911987957e-10
-72.03195415985975,-1.4215961228187162e-09,-1.0458145982820479e-10
-72.03178344753849,-1.4216617054956525e-09,-1.0457909908768543e-10
-72.03160633000289,-1.4217331640522346e-09,-1.0457720513432789e-10
-72.03142288489151,-1.4218104207157673e-09,-1.0457577410151245e-10
-72.03123318813543,-1.4218933993710036e-09,-1.0457480210385229e-10
-72.0310373139994,-1.4219820255336245e-09,-1.045742852418433e-10
-72.03083533512222,-1.4220762263230956e-09,-1.0457421960623489e-10
-72.03062732255623,-1.4221759304350445e-09,-1.0457460128213436e-10
-72.03041334580604,-1.4222810681132424e-09,-1.045754263528575e-10
-72.03019347286646,-1.422391571121304e-09,-1.045766909035381e-10
-72.02996777025953,-1.42250737271418e-09,-1.0457839102450637e-10
-72.02973630307083,-1.4226284076095254e-09,-1.0458052281444934e-10
-72.02949913498499,-1.4227546119590236e-09,-1.0458308238336202e-10
-72.02925632832027,-1.4228859233197085e-09,-1.0458606585530082e-10
-72.02900794406256,-1.4230222806253716e-09,-1.04589469370948e-10
-72.0287540418984,-1.4231636241580834e-09,-1.0459328908999745e-10
-72.02849468024739,-1.4233098955198846e-09,-1.045975211933696e-10
-72.02822991629371,-1.4234610376046908e-09,-1.0460216188526518e-10
-72.027959806017,-1.4236169945704462e-09,-1.046072073950653e-10
-72.02768440422238,-1.4237777118115528e-09,-1.0461265397908578e-10
-72.02740376456991,-1.4239431359316167e-09,-1.0461849792219333e-10
-72.02711793960312,-1.424113214716529e-09,-1.0462473553929098e-10
-72.02682698077703,-1.4242878971079005e-09,-1.0463136317667908e-10
-72.02653093848538,-1.4244671331768787e-09,-1.0463837721329891e-10
-72.02622986208718,-1.4246508740983588e-09,-1.0464577406186497e-10
-72.02592379993258,-1.4248390721256027e-09,-1.0465355016989167e-10
-72.02561279938824,-1.4250316805652793e-09,-1.0466170202062105e-10
-72.02529690686177,-1.4252286537529354e-09,-1.046702261338556e-10
-72.02497616782584,-1.4254299470289057e-09,-1.0467911906670252e-10
-72.02465062684148,-1.425635516714664e-09,-1.0468837741423392e-10
-72.02432032758085,-1.4258453200896333e-09,-1.0469799781006803e-10
-72.02398531284946,-1.4260593153684387e-09,-1.0470797692687493e-10
-72.02364562460771,-1.4262774616786212e-09,-1.0471831147681285e-10
-72.02330130399194,-1.4264997190388062e-09,-1.0472899821189725e-10
-72.02295239133494,-1.426726048337328e-09,-1.0474003392430831e-10
