,Type,AP_height,AP_width,AP1_peak,AP1_width,Spikecount,ISI mean,dvdt Peak1 Height,dvdt Peak1 Voltage,dvdt Peak2 Height,dvdt Peak2 Voltage,dvdt Threshold,ais spikecount,nex spikecount,disdend spikecount
26,mut10_2,35.64023723229166,0.5999999999999659,38.4546577901572,1.305980707600443,32,52.97096774191663,351.2174763042438,-32.40096699790628,550.0988168709362,7.813740393471777,-53.10668268292453,32,0,0
27,mut10_3,35.39060142914466,0.7999999999999545,35.60662999129126,1.9670299734832357,29,59.514285714264055,337.27838793167564,-33.940440018383306,512.1376727237594,7.796958333229563,-53.158704586211016,29,0,0
28,mut10_4,33.01258174286691,0.7999999999999545,36.64343416761954,1.9235136418288241,31,56.133333333312585,333.72318908599397,-34.40063169342222,493.21009840842765,5.870914354026991,-53.12409328527254,31,0,0
29,mut11_1,35.32992532610137,0.4999999999999716,37.257017874747355,1.0658962456985772,36,48.031428571410856,375.35991818874663,-32.50318589139815,608.1913090136808,9.328141015138852,-53.03050486294282,36,0,0
30,mut11_2,35.80328037209878,0.4999999999999716,37.488931570992634,1.1061763771079003,35,48.29411764704164,369.2631145239396,-32.04882908110264,594.3139549106156,9.091261916822678,-53.04333586404595,35,0,0
31,mut11_3,34.19404104162243,0.4999999999999716,38.63343024481147,1.2339727845460942,35,49.42352941174649,346.4672657142941,-33.223944300353686,536.6825731401128,8.272030561443458,-53.052844034764995,35,0,0
32,mut11_4,35.67137477244313,0.4999999999999716,36.86321072707812,1.0933533207261428,35,48.87352941174699,372.71360105452015,-32.27159134290537,599.9768579590642,9.123565756456737,-53.05930193289146,35,0,0
33,mut12_1,35.99885149428124,0.4999999999999716,37.733840442151234,1.096413504222692,35,48.323529411747494,373.1454347755047,-33.37554334487022,602.7723148047335,10.534871105835741,-53.04450502672253,35,0,0
34,mut12_2,35.89700114950164,0.4999999999999716,36.80812318427635,1.0405537945303631,36,47.0828571428403,397.41591940436115,-33.28198618303788,656.0791729432458,11.977954034420074,-53.01796185900254,36,0,0
35,mut12_3,33.83335142486746,0.4999999999999716,36.489616363549395,1.0708482774349186,35,48.86176470586465,363.5387762321109,-33.32489498649846,575.6977937367527,8.502678303698065,-53.04755768838688,35,0,0
36,mut12_4,35.81305915904713,0.4999999999999716,37.01913399272157,1.078479824869803,36,48.14571428569647,375.8671778257792,-32.937839758179926,606.1169285842769,11.471892954730293,-53.034053997252705,36,0,0
