,Type,AP_height,AP_width,AP1_peak,AP1_width,Spikecount,ISI mean,dvdt Peak1 Height,dvdt Peak1 Voltage,dvdt Peak2 Height,dvdt Peak2 Voltage,dvdt Threshold,ais spikecount,nex spikecount,disdend spikecount
16,mut4_4,35.159949841442476,0.39999999999997726,36.277738222132406,1.1515601822768005,18,94.32352941173167,376.332566322154,-33.41718215840983,616.7807765696855,11.184586318521307,-53.098097235107005,24,0,0
17,mut5_1,31.31317014503827,0.39999999999997726,37.0059659933624,1.0895582777576132,23,75.04999999997251,348.2995605016732,-35.16103168081938,508.9446691604959,6.504715131746726,-53.09961280466949,23,0,0
18,mut5_2,36.56369698755767,0.5999999999999659,36.32674856136281,1.4161981144367322,21,83.06999999996928,350.8453769802276,-32.312488703060104,552.8878421994415,8.099033763999186,-53.11167325793459,21,0,0
19,mut5_3,35.372379546460614,0.39999999999997726,35.329956432528675,1.1124562206460489,22,77.41428571425801,377.0980953904086,-33.923639900136195,608.4860554228294,10.015296731187739,-53.10133393317962,22,0,0
20,mut5_4,35.22042639891368,0.39999999999997726,33.89321498747636,1.1441450249268106,22,77.10476190473449,379.1558865173354,-32.664221417761695,611.4932278577811,9.714275536267387,-53.10029722363681,22,0,0
21,mut9_1,34.85778621633187,0.39999999999997726,36.28028876164004,1.1067156599980827,22,76.64761904759204,366.5739138375279,-33.97874182029727,585.8753866130412,8.271880375708992,-53.101697055666605,22,0,0
22,mut9_2,34.85778621633187,0.39999999999997726,36.28028876164004,1.1067156599980827,22,76.64761904759204,366.5739138375279,-33.97874182029727,585.8753866130412,8.271880375708992,-53.101697055666605,22,0,0
23,mut9_3,34.85778621633187,0.39999999999997726,36.28028876164004,1.1067156599980827,22,76.64761904759204,366.5739138375279,-33.97874182029727,585.8753866130412,8.271880375708992,-53.101697055666605,22,0,0
24,mut9_4,34.85778621633187,0.39999999999997726,36.28028876164004,1.1067156599980827,22,76.64761904759204,366.5739138375279,-33.97874182029727,585.8753866130412,8.271880375708992,-53.101697055666605,22,0,0
25,mut10_1,34.960626784408596,0.39999999999997726,36.35534038750523,1.065712688438246,22,76.31904761902092,386.50992729555185,-33.37390353550546,624.3212713741267,9.75645869958603,-53.11083829606429,22,0,0
26,mut10_2,36.15488705331955,0.4999999999999716,37.57116681514717,1.3331043937236238,21,82.81499999996952,353.44026041000626,-33.10726407882642,555.0374498977883,9.870540533734243,-53.11699081150861,21,0,0
27,mut10_3,35.4383455758149,0.7999999999999545,36.177553404796505,1.9648087608552303,19,90.17777777774558,336.3818497230042,-34.00636287220081,509.8895733780724,7.5166443672307555,-53.10510337142501,19,0,0
28,mut10_4,33.78229291653989,0.7999999999999545,37.18525238256142,1.9212296637069226,20,87.48947368417815,333.7852030349982,-33.32605269681968,496.4298779658284,7.660574686402226,-53.0995669554905,20,0,0
29,mut11_1,35.72780601911821,0.39999999999997726,36.70443142344852,1.086869198405905,22,76.51428571425883,376.9374847313085,-33.63866959868206,610.0748355202701,10.727752175821735,-53.10429506292014,22,0,0
30,mut11_2,35.75024261188623,0.4999999999999716,35.17539202366154,1.1445906844056606,22,76.82380952378236,368.19182213700896,-32.47195364435018,591.2815525993224,8.217411869551105,-53.10237852613111,22,0,0
31,mut11_3,34.55510637470765,0.4999999999999716,37.04771403417895,1.2624109050472376,22,78.59999999997122,348.47875739583355,-32.587856250159476,542.5918401548473,9.767053157620259,-53.101750169795665,22,0,0
32,mut11_4,35.69105024323074,0.39999999999997726,36.9736248900744,1.1088186769164998,22,77.47142857140082,371.9577435729327,-33.30503723806218,598.637292516881,10.304475671763678,-53.10952773280714,22,0,0
33,mut12_1,36.040860309746535,0.4999999999999716,35.28125820159093,1.1384321387225553,22,76.84761904759186,371.83685001152435,-33.27522403036938,600.5487222014606,10.465922748292469,-53.10136349208663,22,0,0
34,mut12_2,35.882828870410385,0.39999999999997726,36.09323207574268,1.060809621397995,23,75.34090909088133,395.44868278533835,-32.815380739464715,652.2836709342066,9.1270100617735,-53.099560920659584,23,0,0
35,mut12_3,34.14699261670445,0.4999999999999716,36.63518502017135,1.0901338871617268,22,77.57142857140073,367.8209507630747,-33.43113342802909,584.6425466097239,9.055157906285443,-53.1086092909954,22,0,0
36,mut12_4,35.68121275408596,0.39999999999997726,35.714520539372074,1.1092483117925882,22,76.60476190473494,374.8150637186029,-33.06562813626787,604.7879603302774,11.0699817361305,-53.10235259906748,22,0,0
